UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,PrivPub,UGDStudents,CostBeforeAid,6yrGradRate,Retention,MDEarnings8yr,InstructionWagesPerStudent,AcadmicSupportWagesPerStudent,ServicesAuxWagesPerStudent,PCTFacWhite,PCTFacNotWhite,PCTFacTwoMoreRace/Ethnic,PCTFacRace/EthnicUnk,PCTFacNRA,PCTFacMale,PCTFacFemale,InstrPerStu,PCTFTStaff,PCTFTTenured,PCTFTTenureTrk,PCTFTNotTenure,PCTProf,PCTAssoProf,PCTAssisProf,PCTInstructors,PCTLecturers,PCTNoRank
198507,292600,2926,Elizabeth City State University,Elizabeth City,NC,1,1784,12754,0.4314,0.7559,31874,5673.925075,1266.397602,3421.018482,0.26984127,0.650793651,0.007936508,0.031746032,0.03968254,0.571428571,0.428571429,0.070627803,0.698412698,0.341269841,0.19047619,0.166666667,0.174603175,0.214285714,0.19047619,0,0.111111111,0.007936508
198516,292700,2927,Elon University,Elon,NC,2,6291,52587,0.8277,0.8963,61079,8609.685823,399.276521,3145.552339,0.764604811,0.156357388,0.010309278,0.041237113,0.027491409,0.5,0.5,0.092513114,0.768041237,0.365979381,0.192439863,0.209621993,0.149484536,0.257731959,0.257731959,0.005154639,0.097938144,0
198543,292800,2928,Fayetteville State University,Fayetteville,NC,1,5061,16623,0.3632,0.6596,33522,4607.39667,738.3892358,1105.511597,0.35501355,0.590785908,0,0.01897019,0.035230352,0.474254743,0.525745257,0.072910492,0.720867209,0.398373984,0.12195122,0.192411924,0.229508197,0.204918033,0.112021858,0.008196721,0.12295082,0.049180328
198561,292900,2929,Gardner-Webb University,Boiling Springs,NC,2,2059,45333,0.5607,0.6833,39767,4420.843326,241.3325792,1783.887443,0.665605096,0.095541401,0.003184713,0.23566879,0,0.407643312,0.592356688,0.152501214,0.474522293,0.210191083,0.060509554,0.203821656,0.367741935,0.174193548,0.296774194,0.116129032,0.006451613,0
198598,293000,2930,Greensboro College,Greensboro,NC,2,639,30302,0.3352,0.6298,37968,4585.386653,141.8527542,2524.931144,0.87037037,0.111111111,0.018518519,0,0,0.435185185,0.564814815,0.169014085,0.435185185,0.101851852,0.018518519,0.305555556,0.434782609,0.239130435,0.239130435,0.086956522,0,0.02173913
198613,293100,2931,Guilford College,Greensboro,NC,2,1262,53479,0.4872,0.7211,38169,5336.296711,1590.53254,2691.484255,0.82781457,0.132450331,0,0.039735099,0,0.476821192,0.523178808,0.119651347,0.569536424,0.430463576,0.033112583,0.105960265,0.238410596,0.185430464,0.039735099,0.105960265,0,0
198695,293300,2933,High Point University,High Point,NC,2,4608,54296,0.6888,0.8243,51047,6373.132277,815.7731885,2180.202065,0.856079404,0.126550868,0.012406948,0.004962779,0,0.501240695,0.498759305,0.087456597,0.739454094,0.223325062,0.270471464,0.245657568,0.104026846,0.312080537,0.473154362,0.110738255,0,0
198756,293600,2936,Johnson C Smith University,Charlotte,NC,2,1248,33444,0.4373,0.6512,34828,4874.385911,1118.111792,2220.340735,0.230263158,0.756578947,0,0.013157895,0,0.348684211,0.651315789,0.122596154,0.559210526,0.241830065,0.104575163,0.209150327,0.08496732,0.156862745,0.254901961,0.058823529,0,0
198808,293900,2939,Lees-McRae College,Banner Elk,NC,2,834,43437,0.4352,0.6782,36548,5741.502387,1019.767303,3422.213604,0.820754717,0.028301887,0,0.141509434,0.009433962,0.349056604,0.650943396,0.127098321,0.566037736,0,0,0.566037736,0.103773585,0.188679245,0.160377358,0.113207547,0,0
198835,294100,2941,Lenoir-Rhyne University,Hickory,NC,2,1659,50232,0.4538,0.7285,39178,4804.925168,174.66828,1892.554728,0.914396887,0.070038911,0.003891051,0.011673152,0,0.435797665,0.564202335,0.154912598,0.544747082,0.233463035,0.124513619,0.186770428,0.307142857,0.207142857,0.328571429,0.157142857,0,0
